,CA_Sol_JC_PJ77_1,CA_Sol_JC_PJ77_11,CA_Sol_JC_PJ77_3,CA_Sol_JC_PJ77_4,CA_Sol_JC_PJ77_7,CA_Sol_JC_PJ78_1,CA_Sol_JC_PJ78_10,CA_Sol_JC_PJ78_11,CA_Sol_JC_PJ78_12,CA_Sol_JC_PJ78_3,CA_Sol_JC_PJ78_7,CA_Sol_JC_PJ78_9
CA_Sol_JC_PJ77_1,0,1.590402432,1.791073127,0,1.346273007,0.860201265,1.010111091,1.138633643,0.955511445,2.00533357,1.349240375,1.272165035
CA_Sol_JC_PJ77_11,1.590402432,0,2.233592222,0,1.057904593,0.656093194,1.047165077,1.003837372,1.423348347,1.590402432,1.386294361,0.857233897
CA_Sol_JC_PJ77_3,1.791073127,2.233592222,0,0,2.002366202,2.196538235,2.251137881,2.156516882,1.685712612,0.943775267,2.233592222,1.550381078
CA_Sol_JC_PJ77_4,1.932638048,1.876145894,2.224075971,0,1.947197105,1.866174198,2.028341091,1.942678584,1.869507769,2.132900607,1.93467562,1.952855751
CA_Sol_JC_PJ77_7,1.346273007,1.057904593,2.002366202,0,0,1.138633643,1.326764681,0.693147181,1.138633643,1.713997787,0.729400526,1.16315081
CA_Sol_JC_PJ78_1,0.860201265,0.656093194,2.196538235,0,1.138633643,0,1.010111091,0.615385499,1.178654996,1.754019141,1.097925947,0.820179911
CA_Sol_JC_PJ78_10,1.010111091,1.047165077,2.251137881,0,1.326764681,1.010111091,0,0.874779557,1.115471607,1.703258272,1.270308628,0.633617501
CA_Sol_JC_PJ78_11,1.138633643,1.003837372,2.156516882,0,0.693147181,0.615385499,0.874779557,0,0.820179911,1.965312216,0.690179813,0.693147181
CA_Sol_JC_PJ78_12,0.955511445,1.423348347,1.685712612,0,1.138633643,1.178654996,1.115471607,0.820179911,0,2.85263143,0.404778766,0.69234654
CA_Sol_JC_PJ78_3,2.00533357,1.590402432,0.943775267,0,1.713997787,1.754019141,1.703258272,1.965312216,2.85263143,0,3.295150524,2.119462896
CA_Sol_JC_PJ78_7,1.349240375,1.386294361,2.233592222,0,0.729400526,1.097925947,1.270308628,0.690179813,0.404778766,3.295150524,0,1.115063007
CA_Sol_JC_PJ78_9,1.272165035,0.857233897,1.550381078,0,1.16315081,0.820179911,0.633617501,0.693147181,0.69234654,2.119462896,1.115063007,0
