,CA_Sol_Jai_PJ33_18,CA_Sol_Jai_PJ33_2,CA_Sol_Jai_PJ33_23,CA_Sol_Jai_PJ33_24,CA_Sol_Jai_PJ33_3,CA_Sol_Jai_PJ34_10,CA_Sol_Jai_PJ34_13,CA_Sol_Jai_PJ34_16,CA_Sol_Jai_PJ34_21,CA_Sol_Jai_PJ34_23,CA_Sol_Jai_PJ34_5,CA_Sol_Jai_PJ34_6
CA_Sol_Jai_PJ33_18,0,NA,1.178654996,NA,0.977344918,1.734408785,1.808618787,2.196538235,2.524928004,2.139873893,3.258096538,1.292576032
CA_Sol_Jai_PJ33_2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jai_PJ33_23,1.178654996,NA,0,NA,0.689662846,3.238486181,1.520936715,2.889685416,2.524928004,1.85219182,2.85263143,1.85219182
CA_Sol_Jai_PJ33_24,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jai_PJ33_3,0.977344918,NA,0.689662846,NA,0,3.84810632,1.619731229,2.518476301,3.134548142,1.650881742,2.769104388,3.154959139
CA_Sol_Jai_PJ34_10,1.734408785,NA,3.238486181,NA,3.84810632,0,1.213644286,1.07831559,0.84708957,1.203972804,2.545339001,1.272965676
CA_Sol_Jai_PJ34_13,1.808618787,NA,1.520936715,NA,1.619731229,1.213644286,0,0.951854897,1.326764681,0.895190555,2.214083895,1.213644286
CA_Sol_Jai_PJ34_16,2.196538235,NA,2.889685416,NA,2.518476301,1.07831559,0.951854897,0,2.56198199,0.972955075,0.656093194,0.833193132
CA_Sol_Jai_PJ34_21,2.524928004,NA,2.524928004,NA,3.134548142,0.84708957,1.326764681,2.56198199,0,1.00124025,1.513327092,1.694387431
CA_Sol_Jai_PJ34_23,2.139873893,NA,1.85219182,NA,1.650881742,1.203972804,0.895190555,0.972955075,1.00124025,0,1.041261604,1.139434283
CA_Sol_Jai_PJ34_5,3.258096538,NA,2.85263143,NA,2.769104388,2.545339001,2.214083895,0.656093194,1.513327092,1.041261604,0,0.935901088
CA_Sol_Jai_PJ34_6,1.292576032,NA,1.85219182,NA,3.154959139,1.272965676,1.213644286,0.833193132,1.694387431,1.139434283,0.935901088,0
